,all,sub18,18-29,30-44,44+,all_m,sub18_m,18-29_m,30-44_m,44+_m,all_f,sub18_f,18-29_f,30-44_f,44+_f,top_1000,US,non_US
The Bridge on the River Kwai,8.2,8.4,8.2,8.1,8.2,8.2,8.7,8.2,8.1,8.2,8.0,6.7,7.8,7.8,8.2,8.1,8.4,8.1
"Three Billboards Outside Ebbing, Missouri",8.1,8.1,8.3,8.1,8.0,8.1,8.3,8.3,8.1,8.0,8.2,7.2,8.3,8.1,8.2,7.8,8.0,8.1
Trainspotting,8.1,8.2,8.2,8.1,8.0,8.1,8.3,8.2,8.1,8.0,8.1,7.8,8.2,8.1,8.0,7.5,8.0,8.2
Warrior,8.2,8.1,8.4,8.1,7.8,8.1,8.2,8.4,8.1,7.7,8.2,7.0,8.4,8.1,8.0,7.4,8.2,8.1
Gran Torino,8.1,8.2,8.2,8.1,8.1,8.1,8.3,8.2,8.1,8.0,8.2,7.7,8.2,8.1,8.2,8.1,8.1,8.1
Fargo,8.1,8.2,8.1,8.1,8.3,8.1,8.3,8.1,8.1,8.3,8.0,7.7,7.9,7.9,8.3,8.2,8.4,8.0
Prisoners,8.1,8.7,8.4,8.0,7.8,8.1,8.8,8.4,8.0,7.8,8.0,8.3,8.2,8.0,7.9,7.7,8.1,8.0
My Neighbour Totoro,8.1,8.2,8.1,8.1,8.2,8.1,8.3,8.1,8.1,8.1,8.4,7.6,8.3,8.4,8.4,7.5,8.2,8.1
Million Dollar Baby,8.1,8.2,8.3,8.1,8.0,8.1,8.2,8.3,8.1,8.0,8.1,7.8,8.2,8.0,8.0,7.9,8.0,8.1
The Gold Rush,8.2,8.2,8.2,8.1,8.2,8.2,8.3,8.2,8.1,8.2,8.1,6.9,8.1,8.0,8.2,7.9,8.2,8.1
Catch Me If You Can,8.1,8.4,8.4,8.1,7.7,8.1,8.5,8.4,8.1,7.7,8.1,8.0,8.4,8.0,7.8,7.7,8.1,8.0
Blade Runner,8.1,8.3,8.0,8.0,8.5,8.1,8.4,8.1,8.0,8.5,7.8,8.2,7.7,7.7,8.2,8.2,8.2,8.1
On the Waterfront,8.1,8.1,8.2,8.1,8.2,8.1,8.5,8.2,8.1,8.2,8.0,6.7,8.0,8.0,8.1,7.9,8.4,8.0
Children of Heaven,8.2,7.9,8.3,8.2,7.9,8.2,8.2,8.3,8.2,7.9,8.4,7.4,8.4,8.4,8.4,7.1,7.9,8.2
The Third Man,8.1,7.8,8.1,8.0,8.3,8.1,8.1,8.1,8.1,8.3,8.0,6.8,8.0,7.9,8.3,8.0,8.4,8.0
Ben-Hur,8.1,7.9,8.2,8.1,8.2,8.1,8.3,8.2,8.1,8.2,7.9,6.7,7.9,7.9,8.1,8.0,8.3,8.1
Wild Strawberries,8.1,8.1,8.3,8.1,8.1,8.1,8.2,8.3,8.1,8.1,8.1,7.4,8.2,8.1,8.1,7.7,8.2,8.1
Before Sunrise,8.1,8.8,8.4,8.1,7.7,8.1,8.9,8.4,8.1,7.7,8.1,8.3,8.3,8.1,7.7,7.3,8.1,8.1
12 Years a Slave,8.1,8.2,8.3,8.1,7.9,8.1,8.3,8.3,8.0,7.8,8.2,7.9,8.3,8.1,8.1,7.7,8.3,8.0
The General,8.2,7.8,8.1,8.1,8.3,8.2,8.1,8.2,8.1,8.3,8.0,5.7,7.9,8.0,8.2,8.0,8.3,8.1
Gone Girl,8.1,8.4,8.4,8.1,7.7,8.1,8.4,8.4,8.1,7.7,8.1,8.2,8.3,8.0,7.7,7.8,8.1,8.0
Harry Potter and the Deathly Hallows: Part 2,8.1,8.6,8.4,8.0,7.8,8.0,8.5,8.3,7.9,7.7,8.5,8.5,8.8,8.4,8.4,7.5,8.3,8.0
The Deer Hunter,8.1,8.5,8.2,8.0,8.2,8.1,8.4,8.2,8.1,8.2,8.1,8.6,8.1,8.0,8.2,7.9,8.2,8.1
In the Name of the Father,8.1,8.2,8.3,8.1,8.0,8.1,8.7,8.3,8.1,7.9,8.2,5.9,8.3,8.2,8.1,7.7,8.0,8.1
The Grand Budapest Hotel,8.1,8.6,8.3,8.0,7.8,8.1,8.6,8.3,8.0,7.8,8.1,8.5,8.3,8.1,7.9,7.7,8.1,8.0
Mr. Smith Goes to Washington,8.1,8.2,8.2,8.1,8.2,8.1,8.7,8.2,8.1,8.2,8.2,5.0,8.1,8.1,8.3,8.1,8.4,8.0
The Wages of Fear,8.2,7.5,8.2,8.2,8.2,8.2,8.0,8.2,8.2,8.3,7.8,5.8,7.8,7.7,8.1,7.9,8.3,8.2
Barry Lyndon,8.1,8.7,8.4,8.1,7.9,8.1,8.7,8.4,8.1,7.9,7.7,8.4,7.9,7.7,7.6,7.6,8.1,8.1
Sherlock Jr.,8.2,7.7,8.3,8.1,8.2,8.2,8.1,8.3,8.1,8.2,8.2,6.5,8.3,8.1,8.3,7.7,8.4,8.1
Memories of Murder,8.1,8.5,8.3,8.1,7.7,8.1,8.7,8.4,8.1,7.7,7.9,7.7,8.1,7.9,7.7,7.4,8.1,8.0
Hacksaw Ridge,8.1,8.4,8.3,8.0,7.9,8.0,8.5,8.3,7.9,7.9,8.3,7.8,8.5,8.1,8.3,7.8,8.1,8.0
Klaus,8.1,8.3,8.3,8.0,7.8,8.0,8.5,8.2,8.0,7.8,8.4,8.0,8.5,8.3,8.1,7.4,8.0,8.0
The Seventh Seal,8.1,8.0,8.2,8.1,8.1,8.1,8.2,8.2,8.1,8.1,8.1,6.6,8.1,8.1,8.2,7.8,8.3,8.0
Room,8.1,8.1,8.3,8.0,7.9,8.0,8.1,8.3,8.0,7.8,8.3,7.9,8.4,8.3,8.2,7.5,8.1,8.0
Wild Tales,8.1,7.7,8.3,8.1,7.9,8.1,8.0,8.3,8.1,7.9,8.2,6.6,8.3,8.2,8.1,7.5,8.0,8.1
Mad Max: Fury Road,8.1,8.2,8.3,8.1,7.6,8.1,8.3,8.4,8.1,7.6,7.9,7.8,8.1,7.9,7.5,7.9,8.2,8.0
The Big Lebowski,8.1,8.1,8.0,8.1,8.1,8.1,8.2,8.1,8.2,8.1,7.8,8.0,7.7,7.8,7.8,7.8,8.3,8.0
How to Train Your Dragon,8.1,8.1,8.2,8.1,7.9,8.0,8.1,8.1,8.0,7.9,8.4,8.0,8.5,8.4,8.3,7.7,8.1,8.1
Mary and Max,8.1,8.5,8.2,8.1,8.0,8.0,8.7,8.2,8.0,7.9,8.4,7.8,8.4,8.4,8.3,7.3,8.0,8.1
"Monsters, Inc.",8.1,8.2,8.2,8.0,8.0,8.0,8.2,8.2,8.0,8.0,8.3,8.0,8.3,8.2,8.3,7.8,8.2,8.0
Jaws,8.1,8.2,7.9,8.0,8.4,8.1,8.3,8.0,8.0,8.4,7.7,8.2,7.5,7.6,8.2,8.3,8.5,7.9
The Passion of Joan of Arc,8.2,7.9,8.2,8.1,8.3,8.2,8.2,8.2,8.1,8.3,8.1,7.3,8.1,8.1,8.3,7.5,8.5,8.1
Tokyo Story,8.2,7.5,8.3,8.1,8.2,8.2,7.9,8.3,8.1,8.2,8.1,6.8,8.1,8.0,8.3,7.7,8.2,8.1
Dead Poets Society,8.1,8.4,8.3,8.0,8.0,8.0,8.4,8.2,7.9,7.9,8.3,8.0,8.5,8.2,8.2,7.6,8.0,8.0
Hotel Rwanda,8.1,7.6,8.0,8.1,8.0,8.1,7.8,8.0,8.1,8.0,8.3,6.6,8.2,8.3,8.3,7.7,8.1,8.1
Rocky,8.1,8.3,8.1,8.1,8.0,8.1,8.3,8.1,8.1,8.0,7.7,8.3,7.8,7.6,7.8,8.0,8.3,8.0
Platoon,8.1,8.1,8.0,8.1,8.1,8.1,8.1,8.0,8.1,8.1,7.8,8.1,7.8,7.7,8.0,7.9,8.2,8.0
Le Mans '66,8.1,8.1,8.2,8.0,7.9,8.0,8.2,8.2,8.0,7.9,8.1,7.2,8.2,8.0,8.2,7.7,8.0,8.0
Pather Panchali,8.3,8.0,8.4,8.2,8.2,8.3,8.9,8.5,8.2,8.1,8.1,4.2,7.9,8.2,8.2,7.2,8.2,8.2
Stand by Me,8.1,8.3,8.1,8.0,8.1,8.0,8.3,8.1,8.0,8.0,8.2,8.1,8.3,8.2,8.3,7.8,8.2,8.0
